customer_id,name,email,phone,plan_type,base_cost,region
CUST_0001,James Taylor,davidbarker@example.net,001-372-223-8429x181,Standard,49.99,Zone C
CUST_0002,Amy Sanders,troy24@example.org,(881)657-1843,Standard,49.99,Zone C
CUST_0003,Robert Moore,lwolfe@example.net,927-425-2958,Standard,79.99,Zone A
CUST_0004,Jim Campbell,suttondaniel@example.net,(909)908-0517x76373,Premium,29.99,Zone C
CUST_0005,Tammy Park,johnsonrobert@example.org,+1-363-751-7883x74187,Standard,29.99,Zone C
CUST_0006,Michelle Travis,kyleelliott@example.com,+1-835-286-0126x8871,Standard,29.99,Zone C
CUST_0007,Nicholas White,donna29@example.com,+1-212-645-6934x0230,Premium,79.99,Zone B
CUST_0008,Timothy Santiago,davisalbert@example.com,+1-703-395-3417x24494,Standard,29.99,Zone C
CUST_0009,Eric Walters,michaelgarrett@example.net,(316)356-4338,Basic,79.99,Zone C
CUST_0010,Amanda Ross,michaelmorgan@example.com,(488)536-8925x61210,Basic,29.99,Zone B
CUST_0011,Trevor Santiago V,craig78@example.org,(715)865-0067,Basic,29.99,Zone C
CUST_0012,Billy Graham,bradleyhood@example.net,(867)632-1100,Standard,49.99,Zone C
CUST_0013,Holly Schmidt,michaelguerra@example.net,9789275973,Premium,49.99,Zone A
CUST_0014,Randy Williams,leslie72@example.com,443-892-5957,Standard,79.99,Zone A
CUST_0015,Elizabeth Vargas,todd61@example.net,4477633332,Standard,79.99,Zone A
CUST_0016,Jessica Smith,qcooke@example.com,(449)238-9269x2147,Standard,79.99,Zone C
CUST_0017,Mr. Chase Sanchez Jr.,hancockkimberly@example.net,9602953051,Standard,49.99,Zone A
CUST_0018,Joe Wilson,davismark@example.com,001-822-624-8324,Premium,49.99,Zone A
CUST_0019,Brian Hebert,kimberlyconley@example.com,207-888-6076x39151,Standard,49.99,Zone B
CUST_0020,Mary Galloway,qlee@example.net,698-273-5119x91182,Basic,49.99,Zone B
CUST_0021,Jason Garcia,laurenjensen@example.com,+1-257-867-4152x60730,Standard,79.99,Zone C
CUST_0022,Carol Gardner,caitlyn41@example.com,(917)235-2324x709,Premium,49.99,Zone A
CUST_0023,David Johnson,fcunningham@example.org,001-430-870-4601x735,Premium,49.99,Zone B
CUST_0024,Kyle Nichols,bmoore@example.org,256-892-9241,Premium,79.99,Zone C
CUST_0025,Denise Taylor,tina51@example.com,604.395.8242x3050,Premium,29.99,Zone B
CUST_0026,Robert Thomas,julian71@example.com,+1-217-743-3434,Basic,49.99,Zone A
CUST_0027,Mark Phillips,fosterjulia@example.net,001-727-533-5655x739,Basic,79.99,Zone B
CUST_0028,Nancy Austin,donnamurray@example.net,868.576.7311,Premium,49.99,Zone A
CUST_0029,Douglas King,brandon48@example.net,716-472-3376x85125,Basic,49.99,Zone C
CUST_0030,Charles Alvarado,jonathanwilliams@example.org,541.526.3875x042,Basic,49.99,Zone B
CUST_0031,Edwin Morales,colleenwilkerson@example.org,977.211.1311x2635,Standard,79.99,Zone B
CUST_0032,Maureen Walker,jacksonbarbara@example.net,001-515-660-4809x3160,Standard,29.99,Zone C
CUST_0033,Laura Jones,hmontgomery@example.net,001-330-655-0468,Basic,49.99,Zone B
CUST_0034,Deborah Allison,belleric@example.org,808.462.0579x3372,Premium,49.99,Zone A
CUST_0035,Elizabeth Williams,morrismatthew@example.net,(436)751-4273x68795,Premium,79.99,Zone A
CUST_0036,Alexis Rhodes MD,pamelarobinson@example.com,(936)838-7522,Basic,29.99,Zone A
CUST_0037,Tamara Curry,joelgriffin@example.net,4139242245,Premium,29.99,Zone B
CUST_0038,Jeanne Sanford,elizabeth18@example.net,+1-819-210-8744,Standard,29.99,Zone A
CUST_0039,Ashley Stevens,sheila70@example.net,001-950-757-4684x15687,Basic,49.99,Zone A
CUST_0040,Daniel Chen,frederickbrittany@example.com,+1-966-548-4126x7943,Standard,79.99,Zone B
CUST_0041,Christopher Finley,nholt@example.org,001-680-267-8922x73498,Premium,29.99,Zone B
CUST_0042,Stephanie Smith,samanthagray@example.org,(214)296-7141,Premium,79.99,Zone B
CUST_0043,Sandra Clayton,russelllisa@example.net,941-904-3482,Basic,49.99,Zone A
CUST_0044,Gary Duarte,cobbsarah@example.com,001-979-935-1675x809,Premium,29.99,Zone A
CUST_0045,Anthony Carpenter,johnsonjonathan@example.org,+1-835-380-1138x91551,Premium,29.99,Zone C
CUST_0046,Rhonda Thompson,atkinsjillian@example.org,+1-401-771-6980,Premium,29.99,Zone A
CUST_0047,Roy Reeves,deborah96@example.org,001-408-256-6371x39504,Standard,79.99,Zone B
CUST_0048,Eric Thomas,webbsarah@example.net,(271)816-7659x9766,Basic,49.99,Zone B
CUST_0049,Mark Reed,bradleymccoy@example.net,+1-779-993-2942x83353,Standard,49.99,Zone A
CUST_0050,Robert Gentry,melissasilva@example.com,+1-462-505-1445x235,Basic,49.99,Zone B
CUST_0051,Rebecca Escobar,victoriali@example.net,+1-529-608-3199x463,Basic,79.99,Zone C
CUST_0052,Paul Reid,dustinmiller@example.com,(695)679-5864x61837,Standard,49.99,Zone B
CUST_0053,Paul Malone,kelly79@example.org,856-500-5322x740,Basic,49.99,Zone A
CUST_0054,Shirley Obrien,fgarrett@example.org,527-404-8696,Basic,49.99,Zone C
CUST_0055,Gregory Gonzales,alex50@example.com,538.494.6100,Standard,79.99,Zone B
CUST_0056,Warren Wright,bbrady@example.net,588.723.7395x3412,Basic,29.99,Zone C
CUST_0057,Jennifer Anderson,evanho@example.com,4653496559,Basic,49.99,Zone B
CUST_0058,Christie Martin,deanchelsea@example.org,783-299-1356x7139,Standard,49.99,Zone C
CUST_0059,Dillon Mullen,cynthia62@example.com,295-626-5180,Basic,79.99,Zone C
CUST_0060,Henry Valencia,sean20@example.com,8748136752,Basic,29.99,Zone C
CUST_0061,Michael Henson,elizabethbeck@example.org,711.512.4797x9253,Premium,29.99,Zone A
CUST_0062,Christina Becker,jamesjacqueline@example.com,+1-530-652-1861x802,Standard,79.99,Zone C
CUST_0063,Judy Ortega,monicastanley@example.net,+1-603-397-2197,Premium,29.99,Zone C
CUST_0064,Rebecca Gordon,jbarnes@example.net,001-626-534-2847x5692,Premium,79.99,Zone B
CUST_0065,Benjamin Spencer,ryan00@example.net,001-397-900-4719x2515,Basic,49.99,Zone C
CUST_0066,Katie Patel,rebeccajenkins@example.net,395-853-1013x981,Basic,79.99,Zone A
CUST_0067,Michael Brown,eedwards@example.net,(714)414-2307x44545,Premium,49.99,Zone C
CUST_0068,Angel Singleton,joshua59@example.net,+1-641-950-5408x7117,Premium,49.99,Zone C
